Timestamp,Current_Price,Predicted_Price
1683684569,27716.32,27717.02856850819
1683684575,27713.11,27713.81848644445
1683684581,27713.12,27713.8284867001
1683684587,27712.56,27713.268472383683
1683684640,27704.2,27704.401560071565
1683684646,27704.2,27704.401560071565
1683684651,27701.25,27701.451538609035
1683684657,27701.25,27701.451538609035
1683684663,27704.17,27704.36841546956
1683684714,27710.72,27711.36420222702
1683684720,27710.72,27711.36420222702
1683684726,27710.73,27711.371037194192
1683684731,27710.73,27711.371037194192
1683684737,27710.73,27711.371037194192
1683684789,27719.85,27720.460251678756
1683684795,27719.84,27720.450251458606
1683684801,27716.95,27717.560187835345
1683684807,27716.96,27717.57018805549
1683684813,27716.96,27717.57018805549
1683684864,27727.3,27727.717571899444
1683684871,27729.71,27730.127608193936
1683684876,27717.74,27718.15742792627
1683684882,27717.74,27718.15742792627
1683684888,27717.75,27718.16742807687
1683684940,27725.7,27725.86294411954
1683684945,27724.36,27724.52293624435
1683684951,27724.35,27724.51293618558
1683684957,27725.7,27725.86294411954
1683684963,27725.69,27725.852891182043
1683685017,27733.72,27734.073017186824
1683685022,27729.8,27730.154633632752
1683685029,27722.1,27722.454535158224
1683685035,27722.1,27722.454535158224
1683685041,27722.1,27722.454535158224
1683685091,27712.6,27713.22000664896
1683685097,27710.68,27711.299963693313
1683685103,27710.67,27711.289963469582
1683685108,27710.67,27711.289963469582
1683685114,27710.29,27710.909954967945
1683685166,27716.72,27716.506399921596
1683685172,27716.72,27716.506399921596
1683685178,27716.72,27716.506399921596
1683685183,27716.72,27716.506399921596
1683685190,27716.72,27716.506399921596
1683685242,27710.13,27710.27410032577
1683685248,27709.54,27709.684097257606
1683685254,27709.99,27710.134099597733
1683685260,27709.99,27710.134099597733
1683685266,27709.99,27710.130075680976
1683685319,27704.18,27695.06892161227
1683685325,27704.18,27695.056440122982
1683685331,27710.0,27700.874523476523
1683685337,27723.32,27714.190136924833
1683685343,27723.31,27714.180140218043
1683685397,27717.79,27717.709509901633
1683685403,27717.79,27717.709509901633
1683685409,27717.78,27717.69950993067
1683685415,27717.78,27717.69950993067
1683685421,27717.79,27717.709509901633
1683685473,27705.61,27705.440592456347
1683685479,27705.6,27705.43059251749
1683685485,27704.68,27704.510598142882
1683685491,27700.0,27699.830626759012
1683685497,27700.0,27699.830626759012
1683685550,27712.49,27712.020868119755
1683685556,27712.27,27711.80087184403
1683685563,27712.27,27711.80129562682
1683685569,27712.22,27711.751296472485
1683685575,27712.23,27711.76129630335
1683685627,27733.25,27734.335352958075
1683685633,27733.25,27734.335352958075
1683685638,27733.26,27734.34535334943
1683685644,27733.25,27734.335352958075
1683685650,27733.25,27734.335352958075
1683685703,27733.26,27733.870394500613
1683685708,27733.26,27733.870394500613
1683685714,27733.25,27733.86039428052
1683685720,27733.26,27733.870394500613
1683685726,27733.59,27734.20040176374
1683685778,27741.56,27741.142120294397
1683685784,27741.55,27741.13212044503
1683685790,27738.68,27738.26216367673
1683685796,27738.67,27738.252163827357
1683685802,27738.68,27738.261730962942
1683685854,27734.42,27737.444070856483
1683685860,27734.42,27737.438081394987
1683685866,27734.42,27737.438081394987
1683685872,27735.55,27738.568204362473
1683685878,27735.55,27738.568204362473
1683685930,27705.4,27705.454886771433
1683685936,27705.39,27705.44488675162
1683685942,27708.46,27708.51489283355
1683685948,27708.69,27708.7448932892
1683685954,27705.38,27705.43488673181
1683686009,27695.0,27694.53559197773
1683686015,27695.0,27694.53559197773
1683686021,27691.15,27690.68565653707
1683686027,27691.15,27690.68565653707
1683686033,27691.15,27690.68565653707
1683686088,27680.8,27680.229797713047
1683686093,27680.62,27680.049801420904
1683686099,27676.01,27675.439896383206
1683686105,27676.0,27675.444649213714
1683686111,27676.0,27675.444649213714
1683686165,27680.05,27680.796468449367
1683686171,27676.36,27677.1063689384
1683686176,27676.25,27676.996365971947
1683686182,27676.0,27676.746359230012
1683686189,27673.2,27673.946283720335
1683686244,27664.66,27664.784420008193
1683686250,27661.04,27661.16440372748
1683686256,27661.03,27661.154403682503
1683686262,27661.03,27661.154403682503
1683686267,27667.63,27667.754433365575
1683686322,27672.12,27673.00755275938
1683686328,27672.12,27673.00755275938
1683686334,27672.12,27673.00755275938
1683686340,27672.12,27673.00755275938
1683686345,27672.11,27672.99825199829
1683686399,27678.46,27678.451419239496
1683686405,27678.46,27678.450196063375
1683686411,27678.45,27678.440196066917
1683686417,27678.45,27678.440196066917
1683686422,27673.54,27673.530197806078
1683686475,27668.61,27668.177183517022
1683686481,27673.08,27672.64711359339
1683686487,27673.07,27672.637113749817
1683686493,27670.59,27670.157152544136
1683686499,27660.14,27659.707316012133
1683686555,27667.5,27664.719361257594
1683686560,27667.51,27664.72936025257
1683686566,27667.5,27664.719361257594
1683686572,27668.07,27665.28930397146
1683686579,27668.08,27665.299302966443
1683686634,27657.57,27657.579524806664
1683686640,27669.15,27669.16388753931
1683686646,27658.12,27658.133882003196
1683686652,27658.11,27658.123881998177
1683686658,27658.12,27658.133882003196
1683686713,27671.0,27670.99772460967
1683686718,27669.93,27669.92772469766
1683686724,27673.0,27672.997724445213
1683686730,27670.12,27670.117724682033
1683686736,27670.12,27670.117724682033
1683686790,27665.4,27667.95839405286
1683686796,27664.44,27666.9983052756
1683686802,27660.4,27662.95793167132
1683686808,27660.39,27662.947930746555
1683686813,27660.39,27662.947930746555
1683686870,27670.49,27670.239147753666
1683686876,27668.18,27667.92916869542
1683686882,27668.19,27667.935471247634
1683686887,27668.19,27667.935471247634
1683686893,27668.19,27667.935471247634
1683686949,27671.49,27671.61330534699
1683686955,27671.5,27671.62330539155
1683686961,27677.28,27677.403331147478
1683686966,27677.28,27677.403331147478
1683686972,27677.28,27677.403331147478
1683687031,27673.03,27673.537107001754
